2025-10-29 13:26:22,354  	INFO    	pipeline.utils.staging             	question_cumulative_qi done.
2025-10-29 13:26:22,354  	INFO    	pipeline.utils.staging             	Running mini_game_features...
2025-10-29 13:26:22,362  	INFO    	pipeline.utils.feature_engineering 	Extracted maze hand data for 73 rows.
2025-10-29 13:26:22,362  	INFO    	pipeline.utils.staging             	mini_game_features done.
2025-10-29 13:26:22,362  	INFO    	pipeline.utils.staging             	Running mini_game_reward_split...
2025-10-29 13:26:22,372  	INFO    	pipeline.utils.feature_engineering 	Extracted buff data for 76 rows.
2025-10-29 13:26:22,372  	INFO    	pipeline.utils.staging             	mini_game_reward_split done.
2025-10-29 13:26:22,372  	INFO    	pipeline.utils.staging             	Running mini_game_buffs...
2025-10-29 13:26:22,377  	INFO    	pipeline.utils.feature_engineering 	Extracted earned buff data for 75 rows.
2025-10-29 13:26:22,377  	INFO    	pipeline.utils.staging             	mini_game_buffs done.
2025-10-29 13:26:22,377  	INFO    	pipeline.utils.staging             	Running mini_game_dolls...
2025-10-29 13:26:22,382  	INFO    	pipeline.utils.feature_engineering 	Extracted doll data for 23 rows.
2025-10-29 13:26:22,383  	INFO    	pipeline.utils.staging             	mini_game_dolls done.
2025-10-29 13:26:22,383  	INFO    	pipeline.utils.staging             	Running currency_define_permanent...
2025-10-29 13:26:22,388  	INFO    	pipeline.utils.feature_engineering 	Extracted permanent shop item data for 42 rows.
2025-10-29 13:26:22,388  	INFO    	pipeline.utils.staging             	currency_define_permanent done.
2025-10-29 13:26:22,389  	INFO    	pipeline.utils.staging             	Running currency_define_consumable...
2025-10-29 13:26:22,395  	INFO    	pipeline.utils.feature_engineering 	Extracted consumable shop item data for 206 rows.
2025-10-29 13:26:22,395  	INFO    	pipeline.utils.staging             	currency_define_consumable done.
2025-10-29 13:26:22,395  	INFO    	pipeline.utils.staging             	Running currency_define_board...
2025-10-29 13:26:22,400  	INFO    	pipeline.utils.feature_engineering 	Extracted board item data for 83 rows.
2025-10-29 13:26:22,400  	INFO    	pipeline.utils.staging             	currency_define_board done.
2025-10-29 13:26:22,400  	INFO    	pipeline.utils.staging             	Running currency_define_keys...
2025-10-29 13:26:22,402  	INFO    	pipeline.utils.feature_engineering 	Defined keys in spent_to for 6 rows.
2025-10-29 13:26:22,402  	INFO    	pipeline.utils.staging             	currency_define_keys done.
2025-10-29 13:26:22,402  	INFO    	pipeline.utils.staging             	Running apply_value_maps...
2025-10-29 13:26:22,453  	WARNING 	pipeline.utils.feature_engineering 	'event_params__ad_shown_where' not found in DataFrame.
2025-10-29 13:26:22,456  	WARNING 	pipeline.utils.feature_engineering 	'spent_in_crystal' not found in DataFrame.
2025-10-29 13:26:22,468  	INFO    	pipeline.utils.staging             	apply_value_maps done.
2025-10-29 13:26:22,468  	INFO    	pipeline.utils.staging             	Running question_addressable_index...
2025-10-29 13:26:22,485  	INFO    	pipeline.utils.feature_engineering 	Question address created for 18426 rows.
2025-10-29 13:26:22,486  	INFO    	pipeline.utils.staging             	question_addressable_index done.
2025-10-29 13:26:22,641  	INFO    	__main__                           	Data pipeline complete. Processed data saved.
2025-10-29 14:10:04,956  	INFO    	__main__                           	Initializing pipeline...
2025-10-29 14:10:06,400  	INFO    	__main__                           	Module imports successful.
2025-10-29 14:10:06,400  	INFO    	__main__                           	Validating folder structure...
2025-10-29 14:10:06,401  	INFO    	pipeline.utils.main_functions      	Folder structure validated.
2025-10-29 14:10:06,401  	INFO    	__main__                           	Setting configuration parameters...
2025-10-29 14:10:06,401  	INFO    	__main__                           	Initializing BigQuery client...
2025-10-29 14:10:06,446  	INFO    	__main__                           	BigQuery client initialized.
2025-10-29 14:10:06,446  	INFO    	__main__                           	Starting data pull...
2025-10-29 14:10:06,460  	INFO    	pipeline.utils.staging             	Running pull_from_bq...
2025-10-29 14:10:08,032  	INFO    	pipeline.utils.pull_functions      	No new tables to process.
2025-10-29 14:10:08,033  	INFO    	pipeline.utils.pull_functions      	Merging data...
2025-10-29 14:10:09,158  	INFO    	pipeline.utils.staging             	pull_from_bq done.
2025-10-29 14:10:09,158  	INFO    	pipeline.utils.staging             	Running flatten_dataframe...
2025-10-29 14:10:12,158  	INFO    	pipeline.utils.staging             	flatten_dataframe done.
2025-10-29 14:10:12,158  	INFO    	pipeline.utils.staging             	Running dots_to_underscores...
2025-10-29 14:10:12,159  	INFO    	pipeline.utils.cleaning_functions  	Column names updated to use '__' instead of '.' successfully.
2025-10-29 14:10:12,159  	INFO    	pipeline.utils.staging             	dots_to_underscores done.
2025-10-29 14:10:12,159  	INFO    	pipeline.utils.staging             	Running transform_datetime_fields...
2025-10-29 14:10:12,213  	INFO    	pipeline.utils.time_and_date_functions	Date/time cleanup and transformation complete.
2025-10-29 14:10:12,217  	INFO    	pipeline.utils.staging             	transform_datetime_fields done.
2025-10-29 14:10:12,217  	INFO    	pipeline.utils.staging             	Running add_time_based_features...
2025-10-29 14:10:12,239  	INFO    	pipeline.utils.time_and_date_functions	Time-based features added successfully.
2025-10-29 14:10:12,239  	INFO    	pipeline.utils.staging             	add_time_based_features done.
2025-10-29 14:10:12,239  	INFO    	pipeline.utils.staging             	Running add_durations...
2025-10-29 14:10:12,295  	INFO    	pipeline.utils.time_and_date_functions	Session IDs assigned and durations calculated for 356 unique sessions.
2025-10-29 14:10:12,325  	INFO    	pipeline.utils.time_and_date_functions	Event durations within sessions calculated successfully.
2025-10-29 14:10:12,329  	INFO    	pipeline.utils.staging             	add_durations done.
2025-10-29 14:10:12,329  	INFO    	pipeline.utils.staging             	Running forward_fill_progress...
2025-10-29 14:10:12,380  	INFO    	pipeline.utils.feature_engineering 	Character names, tiers, and question indices forward-filled for 356 unique sessions.
2025-10-29 14:10:12,385  	INFO    	pipeline.utils.staging             	forward_fill_progress done.
2025-10-29 14:10:12,385  	INFO    	pipeline.utils.staging             	Running question_index_cleanup...
2025-10-29 14:10:12,415  	INFO    	pipeline.utils.cleaning_functions  	Question index cleaned up for 18426 rows.
2025-10-29 14:10:12,416  	INFO    	pipeline.utils.staging             	question_index_cleanup done.
2025-10-29 14:10:12,416  	INFO    	pipeline.utils.staging             	Running question_cumulative_qi...
2025-10-29 14:10:12,433  	INFO    	pipeline.utils.feature_engineering 	Cumulative question index calculated for 18426 rows.
2025-10-29 14:10:12,433  	INFO    	pipeline.utils.staging             	question_cumulative_qi done.
2025-10-29 14:10:12,433  	INFO    	pipeline.utils.staging             	Running mini_game_features...
2025-10-29 14:10:12,442  	INFO    	pipeline.utils.feature_engineering 	Extracted maze hand data for 73 rows.
2025-10-29 14:10:12,442  	INFO    	pipeline.utils.staging             	mini_game_features done.
2025-10-29 14:10:12,442  	INFO    	pipeline.utils.staging             	Running mini_game_reward_split...
2025-10-29 14:10:12,453  	INFO    	pipeline.utils.feature_engineering 	Extracted buff data for 76 rows.
2025-10-29 14:10:12,453  	INFO    	pipeline.utils.staging             	mini_game_reward_split done.
